index_label,单词数,超链接,带话题,疫情相关,信用等级
204,13,False,False,False,"正常
"
205,44,False,False,False,"正常
"
206,1,False,False,False,"正常
"
207,71,False,False,False,"正常
"
208,35,True,False,False,"正常
"
209,41,True,False,False,"中
"
210,27,True,True,False,"正常
"
211,74,False,False,False,"中
"
212,74,False,False,False,"中
"
213,56,False,True,False,"中
"
214,49,True,False,False,"中
"
215,42,False,True,False,"正常
"
216,16,True,True,False,"正常
"
217,31,True,False,False,"中
"
218,34,False,False,False,"中
"
219,36,False,False,False,"中
"
220,42,False,True,False,"正常
"
221,44,False,False,False,"正常
"
222,45,False,False,False,"中
"
223,32,True,False,False,"中
"
224,76,False,False,False,"中
"
225,50,True,True,False,"正常
"
226,16,True,False,False,"中
"
227,44,False,False,False,"正常
"
228,31,False,False,False,"正常
"
229,45,False,False,False,"正常
"
230,2,False,False,False,"正常
"
231,36,False,False,False,"正常
"
232,22,True,False,False,"正常
"
233,22,False,False,False,"中
"
234,41,True,True,False,"正常
"
235,23,True,False,False,"正常
"
236,26,True,True,False,"中
"
237,37,True,False,False,"正常
"
238,28,True,False,False,"正常
"
239,27,True,False,False,"正常
"
240,43,False,True,False,"正常
"
241,34,True,False,False,"正常
"
242,31,True,True,False,"正常
"
243,36,False,False,True,"中
"
244,66,False,True,False,"正常
"
245,32,False,False,False,"中
"
246,18,False,False,False,"中
"
247,14,False,False,False,"正常
"
248,29,False,False,False,"中
"
249,19,False,False,False,"中
"
250,66,True,True,False,"中
"
251,68,True,True,False,"中
"
252,25,False,True,False,"正常
"
253,53,False,True,False,"正常
"
254,76,False,False,False,"正常
"
255,20,False,False,False,"正常
"
256,35,True,False,False,"正常
"
257,28,True,True,False,"正常
"
258,77,False,False,False,"正常
"
259,22,False,False,False,"正常
"
260,3,False,False,False,"正常
"
261,24,True,False,False,"正常
"
262,60,True,True,False,"正常
"
263,74,False,True,False,"正常
"
264,40,False,False,False,"正常
"
265,31,True,False,False,"正常
"
266,11,False,False,False,"正常
"
267,9,False,False,False,"正常
"
268,68,False,False,False,"中
"
269,60,True,False,False,"中
"
270,58,True,False,False,"正常
"
271,39,True,True,False,"正常
"
272,79,False,False,False,"中
"
273,1,False,False,False,"中
"
274,52,True,False,False,"中
"
275,25,False,True,False,"中
"
276,44,False,False,False,"中
"
277,1,False,False,False,"正常
"
278,4,False,False,False,"正常
"
279,11,True,False,False,"中
"
280,31,False,False,False,"正常
"
281,20,True,False,False,"正常
"
282,26,True,False,False,"正常
"
283,37,True,False,False,"正常
"
284,59,False,False,False,"正常
"
285,28,False,False,False,"正常
"
286,50,False,False,False,"中
"
287,67,False,False,False,"中
"
288,23,True,False,False,"中
"
289,26,False,False,False,"正常
"
290,33,True,True,False,"正常
"
291,56,True,True,False,"低
"
292,68,False,False,False,"正常
"
293,35,False,False,False,"正常
"
294,32,True,False,False,"中
"
295,33,False,False,True,"中
"
296,36,False,False,False,"正常
"
297,40,False,True,False,"中
"
298,53,False,False,False,"正常
"
299,20,False,True,False,"中
"
300,25,True,False,False,"中
"
301,64,False,False,False,"正常
"
302,67,False,False,True,"中
"
303,33,True,False,False,"中
"
304,32,True,False,False,"中
"
305,31,True,False,False,"正常
"
306,20,True,False,False,"正常
"
307,35,False,False,False,"中
"
308,54,False,False,False,"正常
"
309,20,False,True,False,"正常
"
310,63,False,False,True,"中
"
311,70,True,True,False,"中
"
312,64,True,False,False,"中
"
313,30,True,False,False,"中
"
